id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
1,1,ENCENDRE,,,,,,,,,,,,
2,2,ACCIDENT,,,,,,,,,,,,
3,3,ACORD,,,,,,,,,,,,
4,4,AGULLA,,,,,,,,,,,,
5,5,ARA,,,,,,,,,,,,
6,6,AGRE,,,,,,,,,,,,
7,7,ACCIÓ,,,,,,,,,,,,
8,8,ACTUAL,,,,,,,,,,,,
9,9,A,,,,,,,,,,,,
10,10,A,,,,,,,,,,,,
11,11,AL,,,,,,,,,,,,
12,12,AVANT,,,,,,,,,,,,
13,13,ADÉU,,,,,,,,,,,,
14,14,ADORMIR-SE,,,,,,,,,,,,
15,15,DINS,,,,,,,,,,,,
16,16,AQUÍ,,,,,,,,,,,,
17,17,ON,,,,,,,,,,,,
18,18,AIRE,,,,,,,,,,,,
19,19,AVIÓ,,,,,,,,,,,,
20,20,AEROPORT,,,,,,,,,,,,
21,21,AGUT,,,,,,,,,,,,
22,22,FORA,,,,,,,,,,,,
23,23,AGRADABLE,,,,,,,,,,,,
24,24,ANYELL,,,,,,,,,,,,
25,25,AGOST,,,,,,,,,,,,
26,26,AJUDAR,,,,,,,,,,,,
27,27,ALA,,,,,,,,,,,,
28,28,ALEGRAR-SE,,,,,,,,,,,,
29,29,ALEGRE,,,,,,,,,,,,
30,30,MENJAR,,,,,,,,,,,,
31,31,ALESHORES,,,,,,,,,,,,
32,32,ALT,,,,,,,,,,,,
33,33,DALT,,,,,,,,,,,,
34,34,ALTRE,,,,,,,,,,,,
35,35,ALTRES,,,,,,,,,,,,
36,36,TAMBÉ,,,,,,,,,,,,
37,37,TAMPOC,,,,,,,,,,,,
38,38,AMABLE,,,,,,,,,,,,
39,39,ESTIMAR,,,,,,,,,,,,
40,40,AMIC,,,,,,,,,,,,
41,41,ESMORZAR,,,,,,,,,,,,
42,42,AMOR,,,,,,,,,,,,
43,43,ÀNEC,,,,,,,,,,,,
44,44,ENCARA,,,,,,,,,,,,
45,45,CAMINAR,,,,,,,,,,,,
46,46,RUTLLA,,,,,,,,,,,,
47,47,CANTONADA,,,,,,,,,,,,
48,48,ÀNIMA,,,,,,,,,,,,
49,49,ANIMAL,,,,,,,,,,,,
50,50,ANNA,,,,,,,,,,,,
51,51,ANY,,,,,,,,,,,,
52,52,ABANS,,,,,,,,,,,,
53,53,DAVANT,,,,,,,,,,,,
54,54,ABANS-D’AHIR,,,,,,,,,,,,
55,55,ANTERIOR,,,,,,,,,,,,
56,56,ANTIC,,,,,,,,,,,,
57,57,ABELLA,,,,,,,,,,,,
58,58,OBERT,,,,,,,,,,,,
59,59,APARÈIXER,,,,,,,,,,,,
60,60,PIS,,,,,,,,,,,,
61,61,APRENDRE,,,,,,,,,,,,
62,62,ABRIL,,,,,,,,,,,,
63,63,OBRIR,,,,,,,,,,,,
64,64,AIGUA,,,,,,,,,,,,
65,65,ÀGUILA,,,,,,,,,,,,
66,66,ARBRE,,,,,,,,,,,,
67,67,ARC,,,,,,,,,,,,
68,68,ARC DE SANT MARTÍ,,,,,,,,,,,,
69,69,CREMAR,,,,,,,,,,,,
70,70,SORRA,,,,,,,,,,,,
71,71,ARGENT,,,,,,,,,,,,
72,72,ARMARI,,,,,,,,,,,,
73,73,PARAR,,,,,,,,,,,,
74,74,DETENIR-SE,,,,,,,,,,,,
75,75,ENDARRERE,,,,,,,,,,,,
76,76,ARRIBAR,,,,,,,,,,,,
77,77,ART,,,,,,,,,,,,
78,78,ARTISTA,,,,,,,,,,,,
79,79,PUJAR,,,,,,,,,,,,
80,80,APUJAR,,,,,,,,,,,,
81,81,ASCENSOR,,,,,,,,,,,,
82,82,ESCOLTAR,,,,,,,,,,,,
83,83,PROU,,,,,,,,,,,,
84,84,DESTRAL,,,,,,,,,,,,
85,85,ATENCIÓ,,,,,,,,,,,,
86,86,OCELL,,,,,,,,,,,,
87,87,AUTOR,,,,,,,,,,,,
88,88,SENTIR,,,,,,,,,,,,
89,89,OÏDA,,,,,,,,,,,,
90,90,ORELLA,,,,,,,,,,,,
91,91,OR,,,,,,,,,,,,
92,92,O,,,,,,,,,,,,
93,93,AUTOBÚS,,,,,,,,,,,,
94,94,TARDOR,,,,,,,,,,,,
95,95,AUTOMÒBIL,,,,,,,,,,,,
96,96,ÀVIA,,,,,,,,,,,,
97,97,AVI,,,,,,,,,,,,
98,98,BALCÓ,,,,,,,,,,,,
99,99,BALLAR,,,,,,,,,,,,
100,100,PILOTA,,,,,,,,,,,,
101,101,BLOBUS,,,,,,,,,,,,
102,102,BANANA,,,,,,,,,,,,
103,103,BANC,,,,,,,,,,,,
104,104,BANC,,,,,,,,,,,,
105,105,BANYAR-SE,,,,,,,,,,,,
106,106,BANY,,,,,,,,,,,,
107,107,BARBA,,,,,,,,,,,,
108,108,BARCA,,,,,,,,,,,,
109,109,BAR,,,,,,,,,,,,
110,110,BÀSQUET,,,,,,,,,,,,
111,111,BAIXAR,,,,,,,,,,,,
112,112,ABAIXAR,,,,,,,,,,,,
113,113,BAIX,,,,,,,,,,,,
114,114,BAIX,,,,,,,,,,,,
115,115,BASTAR,,,,,,,,,,,,
116,116,BEBÈ,,,,,,,,,,,,
117,117,GRONXADOR,,,,,,,,,,,,
118,118,MACO,,,,,,,,,,,,
119,119,BÉ,,,,,,,,,,,,
120,120,GORRA,,,,,,,,,,,,
121,121,BEURE,,,,,,,,,,,,
122,122,BIBLIOTECA,,,,,,,,,,,,
123,123,BICICLETA,,,,,,,,,,,,
124,124,BITLLET,,,,,,,,,,,,
125,125,GALETA,,,,,,,,,,,,
126,126,BLANC,,,,,,,,,,,,
127,127,BLAU,,,,,,,,,,,,
128,128,BRUSA,,,,,,,,,,,,
129,129,BOCA,,,,,,,,,,,,
130,130,BO,,,,,,,,,,,,
131,131,BARAT,,,,,,,,,,,,
132,132,BOSSA DE MÀ,,,,,,,,,,,,
133,133,BOSSA,,,,,,,,,,,,
134,134,BOTA,,,,,,,,,,,,
135,135,AMPOLLA,,,,,,,,,,,,
136,136,BOTÓ,,,,,,,,,,,,
137,137,BRAÇ,,,,,,,,,,,,
138,138,RASPALL,,,,,,,,,,,,
139,139,MANTEGA,,,,,,,,,,,,
140,140,GÀBIA,,,,,,,,,,,,
141,141,CAGAR,,,,,,,,,,,,
142,142,CAURE,,,,,,,,,,,,
143,143,CAFÈ,,,,,,,,,,,,
144,144,MITJÓ,,,,,,,,,,,,
145,145,MITJA,,,,,,,,,,,,
146,146,SABATA,,,,,,,,,,,,
147,147,CALENT,,,,,,,,,,,,
148,148,CALENDARI,,,,,,,,,,,,
149,149,CÀLID,,,,,,,,,,,,
150,150,CALOR,,,,,,,,,,,,
151,151,CAMA,,,,,,,,,,,,
152,152,CANVIAR,,,,,,,,,,,,
153,153,CANVI,,,,,,,,,,,,
154,154,CAMBRA,,,,,,,,,,,,
155,155,CAMBRA DE BANY,,,,,,,,,,,,
156,156,LAVABO,,,,,,,,,,,,
157,157,XEMENEIA,,,,,,,,,,,,
158,158,CAMIÓ,,,,,,,,,,,,
159,159,CAMISA,,,,,,,,,,,,
160,160,CAMÍ,,,,,,,,,,,,
161,161,TIMBRE,,,,,,,,,,,,
162,162,CAMP,,,,,,,,,,,,
163,163,ESPALMA,,,,,,,,,,,,
164,164,GOS,,,,,,,,,,,,
165,165,GOSSA,,,,,,,,,,,,
166,166,CANTAR,,,,,,,,,,,,
167,167,CANÇÓ,,,,,,,,,,,,
168,168,CAPAÇ,,,,,,,,,,,,
169,169,CABELL,,,,,,,,,,,,
170,170,CABRE,,,,,,,,,,,,
171,171,CAP,,,,,,,,,,,,
172,172,CAP,,,,,,,,,,,,
173,173,BARRET,,,,,,,,,,,,
174,174,CABRA,,,,,,,,,,,,
175,175,CARÀCTER,,,,,,,,,,,,
176,176,CARN,,,,,,,,,,,,
177,177,CAR,,,,,,,,,,,,
178,178,CARTA,,,,,,,,,,,,
179,179,AJUNTAMENT,,,,,,,,,,,,
180,180,CASA,,,,,,,,,,,,
181,181,FORMATGE,,,,,,,,,,,,
182,182,CAS,,,,,,,,,,,,
183,183,CAPSA,,,,,,,,,,,,
184,184,CALAIX,,,,,,,,,,,,
185,185,CASTELLÀ,,,,,,,,,,,,
186,186,CASTELL,,,,,,,,,,,,
187,187,CADA,,,,,,,,,,,,
188,188,CATALÀ,,,,,,,,,,,,
189,189,GAT,,,,,,,,,,,,
190,190,CAÇAR,,,,,,,,,,,,
191,191,CUA,,,,,,,,,,,,
192,192,COSA,,,,,,,,,,,,
193,193,CAUSA,,,,,,,,,,,,
194,194,CAVALL,,,,,,,,,,,,
195,195,CAVAR,,,,,,,,,,,,
196,196,COVA,,,,,,,,,,,,
197,197,CEC,,,,,,,,,,,,
198,198,CEL,,,,,,,,,,,,
199,199,SOPAR,,,,,,,,,,,,
200,200,SOPAR,,,,,,,,,,,,
201,201,CENDRA,,,,,,,,,,,,
202,202,CENT,,,,,,,,,,,,
203,203,CENTRE,,,,,,,,,,,,
