id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
1,1,ALLUMER,,,,,,,,,,,,
2,2,ACCIDENT,,,,,,,,,,,,
3,3,ACCORD ,,,,,,,,,,,,
4,4,AIGUILLE,,,,,,,,,,,,
5,5,MAINTENANT,,,,,,,,,,,,
6,6,AIGRE,,,,,,,,,,,,
7,7,ACTION,,,,,,,,,,,,
8,8,ACTUEL,,,,,,,,,,,,
9,9,À,,,,,,,,,,,,
10,10,À,,,,,,,,,,,,
11,11,AU,,,,,,,,,,,,
12,12,EN AVANT,,,,,,,,,,,,
13,13,ADIEU,,,,,,,,,,,,
14,14,ENDORMIR ,,,,,,,,,,,,
15,15,DEDANS,,,,,,,,,,,,
16,16,LÀ,,,,,,,,,,,,
17,17,OÙ,,,,,,,,,,,,
18,18,AIR,,,,,,,,,,,,
19,19,AVION,,,,,,,,,,,,
20,20,AÉROPORT,,,,,,,,,,,,
21,21,TRANCHANT,,,,,,,,,,,,
22,22,DEHORS,,,,,,,,,,,,
23,23,AGRÉABLE,,,,,,,,,,,,
24,24,AGNEAU,,,,,,,,,,,,
25,25,AOÛT,,,,,,,,,,,,
26,26,AIDER,,,,,,,,,,,,
27,27,AILE,,,,,,,,,,,,
28,28,RÉJOUIR ,,,,,,,,,,,,
29,29,GAI,,,,,,,,,,,,
30,30,NOURRITURE,,,,,,,,,,,,
31,31,ALORS,,,,,,,,,,,,
32,32,HAUT,,,,,,,,,,,,
33,33,HAUT ,,,,,,,,,,,,
34,34,AUTRE,,,,,,,,,,,,
35,35,AUTRES,,,,,,,,,,,,
36,36,AUSSI,,,,,,,,,,,,
37,37,NON PLUS,,,,,,,,,,,,
38,38,AIMABLE,,,,,,,,,,,,
39,39,AIMER,,,,,,,,,,,,
40,40,AMI,,,,,,,,,,,,
41,41,DÉJEUNER,,,,,,,,,,,,
42,42,AMOUR,,,,,,,,,,,,
43,43,CANARD,,,,,,,,,,,,
44,44,ENCORE,,,,,,,,,,,,
45,45,MARCHER,,,,,,,,,,,,
46,46,ANNEAU,,,,,,,,,,,,
47,47,COIN,,,,,,,,,,,,
48,48,ÂME,,,,,,,,,,,,
49,49,ANIMAL,,,,,,,,,,,,
50,50,ANNE,,,,,,,,,,,,
51,51,AN,,,,,,,,,,,,
52,52,AVANT,,,,,,,,,,,,
53,53,DEVANT,,,,,,,,,,,,
54,54,AVANT-HIER,,,,,,,,,,,,
55,55,ANTÉRIEUR,,,,,,,,,,,,
56,56,ANCIEN,,,,,,,,,,,,
57,57,ABEILLE,,,,,,,,,,,,
58,58,OUVERT,,,,,,,,,,,,
59,59,APPARAÎTRE,,,,,,,,,,,,
60,60,APPARTEMENT,,,,,,,,,,,,
61,61,APPRENDRE,,,,,,,,,,,,
62,62,AVRIL,,,,,,,,,,,,
63,63,OUVRIR,,,,,,,,,,,,
64,64,EAU,,,,,,,,,,,,
65,65,AIGLE,,,,,,,,,,,,
66,66,ARBRE,,,,,,,,,,,,
67,67,ARC,,,,,,,,,,,,
68,68,ARC-EN-CIEL,,,,,,,,,,,,
69,69,BRÛLER ,,,,,,,,,,,,
70,70,SABLE,,,,,,,,,,,,
71,71,ARGENT,,,,,,,,,,,,
72,72,ARMOIRE,,,,,,,,,,,,
73,73,ARRÊTER,,,,,,,,,,,,
74,74,ARRÊTER ,,,,,,,,,,,,
75,75,ARRIÈRE ,,,,,,,,,,,,
76,76,ARRIVER,,,,,,,,,,,,
77,77,ART,,,,,,,,,,,,
78,78,ARTISTE,,,,,,,,,,,,
79,79,MONTER,,,,,,,,,,,,
80,80,MONTER,,,,,,,,,,,,
81,81,ASCENSEUR,,,,,,,,,,,,
82,82,ÉCOUTER,,,,,,,,,,,,
83,83,SUFFISANT,,,,,,,,,,,,
84,84,HACHE ,,,,,,,,,,,,
85,85,ATTENTION,,,,,,,,,,,,
86,86,OISEAU,,,,,,,,,,,,
87,87,AUTEUR,,,,,,,,,,,,
88,88,ENTENDRE,,,,,,,,,,,,
89,89,OUÏE,,,,,,,,,,,,
90,90,OREILLE,,,,,,,,,,,,
91,91,OR,,,,,,,,,,,,
92,92,OU,,,,,,,,,,,,
93,93,AUTOBUS,,,,,,,,,,,,
94,94,AUTOMNE,,,,,,,,,,,,
95,95,AUTOMOBILE,,,,,,,,,,,,
96,96,GRAND-MÈRE,,,,,,,,,,,,
97,97,GRAND-PÈRE,,,,,,,,,,,,
98,98,BALCON,,,,,,,,,,,,
99,99,DANSER,,,,,,,,,,,,
100,100,BALLON,,,,,,,,,,,,
101,101,BALLON,,,,,,,,,,,,
102,102,BANANE,,,,,,,,,,,,
103,103,BANQUE,,,,,,,,,,,,
104,104,BANC,,,,,,,,,,,,
105,105,BAIGNER ,,,,,,,,,,,,
106,106,BAIN,,,,,,,,,,,,
107,107,BARBE,,,,,,,,,,,,
108,108,BARQUE,,,,,,,,,,,,
109,109,BAR,,,,,,,,,,,,
110,110,BASKET-BALL,,,,,,,,,,,,
111,111,DESCENDRE,,,,,,,,,,,,
112,112,DESCENDRE,,,,,,,,,,,,
113,113,BAS,,,,,,,,,,,,
114,114,BAS ,,,,,,,,,,,,
115,115,SUFFIRE,,,,,,,,,,,,
116,116,BÉBÉ,,,,,,,,,,,,
117,117,BALANÇOIRE,,,,,,,,,,,,
118,118,JOLI,,,,,,,,,,,,
119,119,BIEN,,,,,,,,,,,,
120,120,CASQUETTE,,,,,,,,,,,,
121,121,BOIRE,,,,,,,,,,,,
122,122,BIBLIOTHÈQUE,,,,,,,,,,,,
123,123,BICYCLETTE,,,,,,,,,,,,
124,124,BILLET,,,,,,,,,,,,
125,125,BISCUIT SEC,,,,,,,,,,,,
126,126,BLANC,,,,,,,,,,,,
127,127,BLEU,,,,,,,,,,,,
128,128,BLOUSE,,,,,,,,,,,,
129,129,BOUCHE,,,,,,,,,,,,
130,130,BON,,,,,,,,,,,,
131,131,BON MARCHÉ,,,,,,,,,,,,
132,132,SAC À MAIN,,,,,,,,,,,,
133,133,BOURSE,,,,,,,,,,,,
134,134,BOTTE,,,,,,,,,,,,
135,135,BOUTEILLE,,,,,,,,,,,,
136,136,BOUTON,,,,,,,,,,,,
137,137,BRAS,,,,,,,,,,,,
138,138,BROSSE,,,,,,,,,,,,
139,139,BEURRE,,,,,,,,,,,,
140,140,CAGE,,,,,,,,,,,,
141,141,CHIER,,,,,,,,,,,,
142,142,TOMBER,,,,,,,,,,,,
143,143,CAFÉ,,,,,,,,,,,,
144,144,CHAUSSETTE,,,,,,,,,,,,
145,145,BAS,,,,,,,,,,,,
146,146,SOULIER,,,,,,,,,,,,
147,147,CHAUD,,,,,,,,,,,,
148,148,CALENDRIER,,,,,,,,,,,,
149,149,CHAUD,,,,,,,,,,,,
150,150,CHALEUR,,,,,,,,,,,,
151,151,JAMBE,,,,,,,,,,,,
152,152,CHANGER,,,,,,,,,,,,
153,153,ÉCHANGE,,,,,,,,,,,,
154,154,PIÈCE,,,,,,,,,,,,
155,155,SALLE DE BAINS,,,,,,,,,,,,
156,156,CABINET DE TOILETTE,,,,,,,,,,,,
157,157,FOYER,,,,,,,,,,,,
158,158,CAMION,,,,,,,,,,,,
159,159,CHEMISE,,,,,,,,,,,,
160,160,CHEMIN,,,,,,,,,,,,
161,161,SONNETTE,,,,,,,,,,,,
162,162,CHAMP,,,,,,,,,,,,
163,163,BOUGIE,,,,,,,,,,,,
164,164,CHIEN,,,,,,,,,,,,
165,165,CHIENNE,,,,,,,,,,,,
166,166,CHANTER,,,,,,,,,,,,
167,167,CHANSON,,,,,,,,,,,,
168,168,CAPABLE,,,,,,,,,,,,
169,169,CHEVEU,,,,,,,,,,,,
170,170,CONTENIR,,,,,,,,,,,,
171,171,TÊTE,,,,,,,,,,,,
172,172,CHEF,,,,,,,,,,,,
173,173,CHAPEAU,,,,,,,,,,,,
174,174,CHÈVRE,,,,,,,,,,,,
175,175,CARACTÈRE,,,,,,,,,,,,
176,176,CHAIR ,,,,,,,,,,,,
177,177,CHER,,,,,,,,,,,,
178,178,CARTE,,,,,,,,,,,,
179,179,MAIRIE,,,,,,,,,,,,
180,180,MAISON,,,,,,,,,,,,
181,181,FROMAGE,,,,,,,,,,,,
182,182,CAS,,,,,,,,,,,,
183,183,BOÎTE,,,,,,,,,,,,
184,184,TIROIR,,,,,,,,,,,,
185,185,ESPAGNOL,,,,,,,,,,,,
186,186,CHÂTEAU,,,,,,,,,,,,
187,187,CHAQUE,,,,,,,,,,,,
188,188,CATALAN,,,,,,,,,,,,
189,189,CHAT,,,,,,,,,,,,
190,190,CHASSER,,,,,,,,,,,,
191,191,QUEUE,,,,,,,,,,,,
192,192,CHOSE,,,,,,,,,,,,
193,193,CAUSE,,,,,,,,,,,,
194,194,CHEVAL,,,,,,,,,,,,
195,195,CREUSER,,,,,,,,,,,,
196,196,GROTTE,,,,,,,,,,,,
197,197,AVEUGLE,,,,,,,,,,,,
198,198,CIEL,,,,,,,,,,,,
199,199,DÎNER,,,,,,,,,,,,
200,200,DÎNER,,,,,,,,,,,,
201,201,CENDRE,,,,,,,,,,,,
202,202,CENT,,,,,,,,,,,,
203,203,CENTRE,,,,,,,,,,,,
204,204,CHERCHER,,,,,,,,,,,,
205,205,CERISE,,,,,,,,,,,,
206,206,CERTAIN,,,,,,,,,,,,
207,207,BIÈRE,,,,,,,,,,,,
208,208,GUITARE,,,,,,,,,,,,
209,209,CIGARETTE,,,,,,,,,,,,
210,210,CINÉMA,,,,,,,,,,,,
211,211,CINQUANTE,,,,,,,,,,,,
212,212,CINQ,,,,,,,,,,,,
213,213,CHOCOLAT,,,,,,,,,,,,
214,214,VILLE,,,,,,,,,,,,
215,215,APPELER,,,,,,,,,,,,
216,216,APPELER ,,,,,,,,,,,,
217,217,CLAIR,,,,,,,,,,,,
218,218,CLASSE,,,,,,,,,,,,
219,219,FERMER,,,,,,,,,,,,
220,220,FERMÉ,,,,,,,,,,,,
221,221,CLEF,,,,,,,,,,,,
222,222,CLOU,,,,,,,,,,,,
223,223,CLIMAT,,,,,,,,,,,,
224,224,CUISINE,,,,,,,,,,,,
225,225,NOM DE FAMILLE,,,,,,,,,,,,
226,226,PRENDRE,,,,,,,,,,,,
227,227,LÀ-BAS,,,,,,,,,,,,
228,228,CUILLÈRE,,,,,,,,,,,,
229,229,COU,,,,,,,,,,,,
230,230,COUCHER ,,,,,,,,,,,,
231,231,PIGEON,,,,,,,,,,,,
232,232,COULEUR,,,,,,,,,,,,
