id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
1,1,ACENDER,,,,,,,,,,,,
2,2,ACIDENTE,,,,,,,,,,,,
3,3,ACORDO,,,,,,,,,,,,
4,4,AGULHA,,,,,,,,,,,,
5,5,AGORA,,,,,,,,,,,,
6,6,AGRO,,,,,,,,,,,,
7,7,AÇÃO,,,,,,,,,,,,
8,8,ATUAL,,,,,,,,,,,,
9,9,A,,,,,,,,,,,,
10,10,A,,,,,,,,,,,,
11,11,AO,,,,,,,,,,,,
12,12,ADIANTE,,,,,,,,,,,,
13,13,ADEUS,,,,,,,,,,,,
14,14,ADORMECER,,,,,,,,,,,,
15,15,ADENTRO,,,,,,,,,,,,
16,16,AÍ,,,,,,,,,,,,
17,17,AONDE,,,,,,,,,,,,
18,18,AR,,,,,,,,,,,,
19,19,AVIÃO,,,,,,,,,,,,
20,20,AEROPORTO,,,,,,,,,,,,
21,21,AFIADO,,,,,,,,,,,,
22,22,FORA,,,,,,,,,,,,
23,23,AGRADÁVEL,,,,,,,,,,,,
24,24,CORDEIRO,,,,,,,,,,,,
25,25,AGOSTO,,,,,,,,,,,,
26,26,AJUDAR,,,,,,,,,,,,
27,27,ASA,,,,,,,,,,,,
28,28,ALEGRIA,,,,,,,,,,,,
29,29,ALEGRE,,,,,,,,,,,,
30,30,COMIDA,,,,,,,,,,,,
31,31,ENTÃO,,,,,,,,,,,,
32,32,ALTO,,,,,,,,,,,,
33,33,ACIMA,,,,,,,,,,,,
34,34,OUTRO,,,,,,,,,,,,
35,35,DEMAIS,,,,,,,,,,,,
36,36,TAMBÉM,,,,,,,,,,,,
37,37,TÃO-POUCO,,,,,,,,,,,,
38,38,AMÁVEL,,,,,,,,,,,,
39,39,AMAR,,,,,,,,,,,,
40,40,AMIGO,,,,,,,,,,,,
41,41,ALMOÇO,,,,,,,,,,,,
42,42,AMOR,,,,,,,,,,,,
43,43,PATO,,,,,,,,,,,,
44,44,AINDA,,,,,,,,,,,,
45,45,ANDAR,,,,,,,,,,,,
46,46,ARO,,,,,,,,,,,,
47,47,ESQUINA,,,,,,,,,,,,
48,48,ALMA,,,,,,,,,,,,
49,49,ANIMAL,,,,,,,,,,,,
50,50,ANA,,,,,,,,,,,,
51,51,ANO,,,,,,,,,,,,
52,52,ANTES,,,,,,,,,,,,
53,53,ANTE,,,,,,,,,,,,
54,54,ANTEONTEM,,,,,,,,,,,,
55,55,ANTERIOR,,,,,,,,,,,,
56,56,ANTIGO,,,,,,,,,,,,
57,57,ABELHA,,,,,,,,,,,,
58,58,ABERTO,,,,,,,,,,,,
59,59,APARECER,,,,,,,,,,,,
60,60,APARTAMENTO,,,,,,,,,,,,
61,61,APRENDER,,,,,,,,,,,,
62,62,ABRIL,,,,,,,,,,,,
63,63,ABRIR,,,,,,,,,,,,
64,64,ÁGUA,,,,,,,,,,,,
65,65,ÁGUIA,,,,,,,,,,,,
66,66,ÁRVORE,,,,,,,,,,,,
67,67,ARCO,,,,,,,,,,,,
68,68,ARCO-ÍRIS,,,,,,,,,,,,
69,69,QUEIMAR,,,,,,,,,,,,
70,70,AREIA,,,,,,,,,,,,
71,71,PRATA,,,,,,,,,,,,
72,72,ARMÁRIO,,,,,,,,,,,,
73,73,PARAR,,,,,,,,,,,,
74,74,DETER-SE,,,,,,,,,,,,
75,75,ATRÁS,,,,,,,,,,,,
76,76,CHEGAR,,,,,,,,,,,,
77,77,ARTE,,,,,,,,,,,,
78,78,ARTISTA,,,,,,,,,,,,
79,79,SUBIR,,,,,,,,,,,,
80,80,SUBIR,,,,,,,,,,,,
81,81,ELEVADOR,,,,,,,,,,,,
82,82,ESCUTAR,,,,,,,,,,,,
83,83,BASTANTE,,,,,,,,,,,,
84,84,MACHADO,,,,,,,,,,,,
85,85,ATENÇÃO,,,,,,,,,,,,
86,86,PÁSSARO,,,,,,,,,,,,
87,87,AUTOR,,,,,,,,,,,,
88,88,OUVIR,,,,,,,,,,,,
89,89,OUVIDO,,,,,,,,,,,,
90,90,ORELHA,,,,,,,,,,,,
91,91,OURO,,,,,,,,,,,,
92,92,OU,,,,,,,,,,,,
93,93,AUTOCARRO,,,,,,,,,,,,
94,94,OUTONO,,,,,,,,,,,,
95,95,AUTOMÓVEL,,,,,,,,,,,,
96,96,AVÓ,,,,,,,,,,,,
97,97,AVÔ,,,,,,,,,,,,
98,98,VARANDA,,,,,,,,,,,,
99,99,DANÇAR,,,,,,,,,,,,
100,100,BOLA,,,,,,,,,,,,
101,101,BALÃO,,,,,,,,,,,,
102,102,BANANA,,,,,,,,,,,,
103,103,BANCO,,,,,,,,,,,,
104,104,BANCO,,,,,,,,,,,,
105,105,BANHAR-SE,,,,,,,,,,,,
106,106,BANHO,,,,,,,,,,,,
107,107,BARBA,,,,,,,,,,,,
108,108,BARCA,,,,,,,,,,,,
109,109,BAR,,,,,,,,,,,,
110,110,BASQUETEBOL,,,,,,,,,,,,
111,111,ABAIXAR,,,,,,,,,,,,
112,112,BAIXAR,,,,,,,,,,,,
113,113,BAIXO,,,,,,,,,,,,
114,114,ABAIXO,,,,,,,,,,,,
115,115,BASTAR,,,,,,,,,,,,
116,116,BEBÉ,,,,,,,,,,,,
117,117,BALOIÇO,,,,,,,,,,,,
118,118,BONITO,,,,,,,,,,,,
119,119,BEM,,,,,,,,,,,,
120,120,BONÉ,,,,,,,,,,,,
121,121,BEBER,,,,,,,,,,,,
122,122,BIBLIOTECA,,,,,,,,,,,,
123,123,BICICLETA,,,,,,,,,,,,
124,124,NOTA,,,,,,,,,,,,
125,125,BOLACHA,,,,,,,,,,,,
126,126,BRANCO,,,,,,,,,,,,
127,127,AZUL,,,,,,,,,,,,
128,128,BLUSA,,,,,,,,,,,,
129,129,BOCA,,,,,,,,,,,,
130,130,BOM,,,,,,,,,,,,
131,131,BARATO,,,,,,,,,,,,
132,132,CARTEIRA,,,,,,,,,,,,
133,133,SACO,,,,,,,,,,,,
134,134,BOTA,,,,,,,,,,,,
135,135,GARRAFA,,,,,,,,,,,,
136,136,BOTÃO,,,,,,,,,,,,
137,137,BRAÇO,,,,,,,,,,,,
138,138,ESCOVA,,,,,,,,,,,,
139,139,MANTEIGA,,,,,,,,,,,,
140,140,GAIOLA,,,,,,,,,,,,
141,141,CAGAR,,,,,,,,,,,,
142,142,CAIR,,,,,,,,,,,,
143,143,CAFÉ,,,,,,,,,,,,
144,144,PEÚGA,,,,,,,,,,,,
145,145,MEIA,,,,,,,,,,,,
146,146,SAPATO,,,,,,,,,,,,
147,147,QUENTE,,,,,,,,,,,,
148,148,CALENDÁRIO,,,,,,,,,,,,
149,149,CALOROSO,,,,,,,,,,,,
150,150,CALOR,,,,,,,,,,,,
151,151,PERNA,,,,,,,,,,,,
152,152,TROCAR,,,,,,,,,,,,
153,153,TROCA,,,,,,,,,,,,
154,154,QUARTO,,,,,,,,,,,,
155,155,QUARTO DE BANHO,,,,,,,,,,,,
156,156,LAVABO,,,,,,,,,,,,
157,157,CHAMINÉ,,,,,,,,,,,,
158,158,CAMIÃO,,,,,,,,,,,,
159,159,CAMISA,,,,,,,,,,,,
160,160,CAMINHO,,,,,,,,,,,,
161,161,CAMPAINHA,,,,,,,,,,,,
162,162,CAMPO,,,,,,,,,,,,
163,163,VELA,,,,,,,,,,,,
164,164,CÃO,,,,,,,,,,,,
165,165,CADELA,,,,,,,,,,,,
166,166,CANTAR,,,,,,,,,,,,
167,167,CANÇÃO,,,,,,,,,,,,
168,168,CAPAZ,,,,,,,,,,,,
169,169,CABELO,,,,,,,,,,,,
170,170,CABER,,,,,,,,,,,,
171,171,CABEÇA,,,,,,,,,,,,
172,172,CHEFE,,,,,,,,,,,,
