id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
1,1,ENCENDER,,,,,,,,,,,,
2,2,ACCIDENTE,,,,,,,,,,,,
3,3,ACUERDO,,,,,,,,,,,,
4,4,AGUJA,,,,,,,,,,,,
5,5,AHORA,,,,,,,,,,,,
6,6,AGRIO,,,,,,,,,,,,
7,7,ACCIÓN,,,,,,,,,,,,
8,8,ACTUAL,,,,,,,,,,,,
9,9,A,,,,,,,,,,,,
10,10,A,,,,,,,,,,,,
11,11,AL,,,,,,,,,,,,
12,12,ADELANTE,,,,,,,,,,,,
13,13,ADIÓS,,,,,,,,,,,,
14,14,DORMIRSE,,,,,,,,,,,,
15,15,ADENTRO,,,,,,,,,,,,
16,16,AHÍ,,,,,,,,,,,,
17,17,ADÓNDE,,,,,,,,,,,,
18,18,AIRE,,,,,,,,,,,,
19,19,AVIÓN,,,,,,,,,,,,
20,20,AEROPUERTO,,,,,,,,,,,,
21,21,AFILADO,,,,,,,,,,,,
22,22,AFUERA,,,,,,,,,,,,
23,23,AGRADABLE,,,,,,,,,,,,
24,24,CORDERO,,,,,,,,,,,,
25,25,AGOSTO,,,,,,,,,,,,
26,26,AYUDAR,,,,,,,,,,,,
27,27,ALA,,,,,,,,,,,,
28,28,ALEGRARSE,,,,,,,,,,,,
29,29,ALEGRE,,,,,,,,,,,,
30,30,COMIDA,,,,,,,,,,,,
31,31,ENTONCES,,,,,,,,,,,,
32,32,ALTO,,,,,,,,,,,,
33,33,ARRIBA,,,,,,,,,,,,
34,34,OTRO,,,,,,,,,,,,
35,35,DEMÁS,,,,,,,,,,,,
36,36,TAMBIÉN,,,,,,,,,,,,
37,37,TAMPOCO,,,,,,,,,,,,
38,38,AMABLE,,,,,,,,,,,,
39,39,AMAR,,,,,,,,,,,,
40,40,AMIGO,,,,,,,,,,,,
41,41,ALMUERZO,,,,,,,,,,,,
42,42,AMOR,,,,,,,,,,,,
43,43,PATO,,,,,,,,,,,,
44,44,AÚN,,,,,,,,,,,,
45,45,ANDAR,,,,,,,,,,,,
46,46,ARO,,,,,,,,,,,,
47,47,ESQUINA,,,,,,,,,,,,
48,48,ALMA,,,,,,,,,,,,
49,49,ANIMAL,,,,,,,,,,,,
50,50,ANA,,,,,,,,,,,,
51,51,AÑO,,,,,,,,,,,,
52,52,ANTES,,,,,,,,,,,,
53,53,ANTE,,,,,,,,,,,,
54,54,ANTEAYER,,,,,,,,,,,,
55,55,ANTERIOR,,,,,,,,,,,,
56,56,ANTIGUO,,,,,,,,,,,,
57,57,ABEJA,,,,,,,,,,,,
58,58,ABIERTO,,,,,,,,,,,,
59,59,APARECER,,,,,,,,,,,,
60,60,APARTAMENTO,,,,,,,,,,,,
