id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
1,1,ACCENDERE,,,,,,,,,,,,
2,2,INCIDENTE,,,,,,,,,,,,
3,3,ACCORDO,,,,,,,,,,,,
4,4,AGO,,,,,,,,,,,,
5,5,ADESSO,,,,,,,,,,,,
6,6,AGRO,,,,,,,,,,,,
7,7,AZIONE,,,,,,,,,,,,
8,8,ATTUALE,,,,,,,,,,,,
9,9,A,,,,,,,,,,,,
10,10,A,,,,,,,,,,,,
11,11,AL,,,,,,,,,,,,
12,12,AVANTI,,,,,,,,,,,,
13,13,ADDIO,,,,,,,,,,,,
14,14,ADDORMENTARSI,,,,,,,,,,,,
15,15,DENTRO,,,,,,,,,,,,
16,16,LÌ,,,,,,,,,,,,
17,17,DOVE,,,,,,,,,,,,
18,18,ARIA,,,,,,,,,,,,
19,19,AEREO,,,,,,,,,,,,
20,20,AEROPORTO,,,,,,,,,,,,
21,21,AFFILATO,,,,,,,,,,,,
22,22,FUORI,,,,,,,,,,,,
23,23,GRADEVOLE,,,,,,,,,,,,
24,24,AGNELLO,,,,,,,,,,,,
25,25,AGOSTO,,,,,,,,,,,,
26,26,AIUTARE,,,,,,,,,,,,
27,27,ALA,,,,,,,,,,,,
28,28,RALLEGRARSI,,,,,,,,,,,,
29,29,ALLEGRO,,,,,,,,,,,,
30,30,CIBO,,,,,,,,,,,,
31,31,ALLORA,,,,,,,,,,,,
32,32,ALTO,,,,,,,,,,,,
33,33,SOPRA,,,,,,,,,,,,
34,34,ALTRO,,,,,,,,,,,,
35,35,ALTRI,,,,,,,,,,,,
36,36,ANCHE,,,,,,,,,,,,
37,37,NEANCHE,,,,,,,,,,,,
38,38,AMABILE,,,,,,,,,,,,
39,39,AMARE,,,,,,,,,,,,
40,40,AMICO,,,,,,,,,,,,
41,41,COLAZIONE,,,,,,,,,,,,
42,42,AMORE,,,,,,,,,,,,
43,43,ANATRA,,,,,,,,,,,,
44,44,ANCORA,,,,,,,,,,,,
45,45,ANDARE,,,,,,,,,,,,
46,46,ANELLO,,,,,,,,,,,,
47,47,ANGOLO,,,,,,,,,,,,
48,48,ANIMA,,,,,,,,,,,,
49,49,ANIMALE,,,,,,,,,,,,
50,50,ANNA,,,,,,,,,,,,
51,51,ANNO,,,,,,,,,,,,
52,52,PRIMA,,,,,,,,,,,,
53,53,INNANZI,,,,,,,,,,,,
54,54,AVANTIERI,,,,,,,,,,,,
55,55,ANTERIORE,,,,,,,,,,,,
56,56,ANTICO,,,,,,,,,,,,
57,57,APE,,,,,,,,,,,,
58,58,APERTO,,,,,,,,,,,,
59,59,APPARIRE,,,,,,,,,,,,
60,60,APPARTAMENTO,,,,,,,,,,,,
61,61,IMPARARE,,,,,,,,,,,,
62,62,APRILE,,,,,,,,,,,,
63,63,APRIRE,,,,,,,,,,,,
64,64,ACQUA,,,,,,,,,,,,
65,65,AQUILA,,,,,,,,,,,,
66,66,ALBERO,,,,,,,,,,,,
67,67,ARCO,,,,,,,,,,,,
68,68,ARCOBALENO,,,,,,,,,,,,
69,69,BRUCIARE,,,,,,,,,,,,
70,70,SABBIA,,,,,,,,,,,,
71,71,ARGENTO,,,,,,,,,,,,
72,72,ARMADIO,,,,,,,,,,,,
73,73,FERMARE,,,,,,,,,,,,
74,74,ARRESTARSI,,,,,,,,,,,,
75,75,INDIETRO,,,,,,,,,,,,
76,76,ARRIVARE,,,,,,,,,,,,
77,77,ARTE,,,,,,,,,,,,
78,78,ARTISTA,,,,,,,,,,,,
79,79,SALIRE,,,,,,,,,,,,
80,80,SALIRE,,,,,,,,,,,,
81,81,ASCENSORE,,,,,,,,,,,,
82,82,ASCOLTARE,,,,,,,,,,,,
83,83,ALQUANTO,,,,,,,,,,,,
84,84,ASCIA,,,,,,,,,,,,
85,85,ATTENZIONE,,,,,,,,,,,,
86,86,UCCELLO,,,,,,,,,,,,
87,87,AUTORE,,,,,,,,,,,,
