id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
1,1,ACCÈNDERE,,vt,,,,,,,,,,
2,2,ACCIDÈNTE,,sm,,,,,,,,,,
3,3,ACCÒRDO,,adv,,,,,,,,,,
4,4,ACO,,sm,,,,,,,,,,
5,5,ACORA,,adv,,,,,,,,,,
6,6,ACRO,,adj,,,,,,,,,,
7,7,ACTIONE,,sf,,,,,,,,,,
8,8,ACTUALE,,adj,,,,,,,,,,
9,9,AD,,prep,,,,,,,,,,
10,10,AD,,prep dat,,,,,,,,,,
11,11,AD LO,,prep + art,,,,,,,,,,
12,12,ADANTE,,prep,,,,,,,,,,
13,13,ADDÈO,,inter,,,,,,,,,,
14,14,ADDORMIRE-SE,,vr,,,,,,,,,,
15,15,ADENTRO,,prep,,,,,,,,,,
16,16,ADÍ,,adv,,,,,,,,,,
17,17,ADONDE,,adv,,,,,,,,,,
18,18,ÀERE,,sm,,,,,,,,,,
19,19,AEROPLANO,,sm,,,,,,,,,,
20,20,AEROPÒRTO,,sm,,,,,,,,,,
21,21,AFFILATO,,adj,,,,,,,,,,
22,22,­AFFÒRA,,prep,,,,,,,,,,
23,23,AGGRATÀBILE,,adj,,,,,,,,,,
24,24,AGNO,,sm,,,,,,,,,,
25,25,AGOSTO,,sm,,,,,,,,,,
26,26,AJJUTARE,,vt,,,,,,,,,,
27,27,ALA,,sf,,,,,,,,,,
28,28,ALECRARE-SE,,vr,,,,,,,,,,
29,29,ALÈCRE,,adj,,,,,,,,,,
30,30,ALIMÈNTO,,sm,,,,,,,,,,
31,31,ALLORA,,adv,,,,,,,,,,
32,32,ALTO,,adj,,,,,,,,,,
33,33,ALTO,,prep (adv),,,,,,,,,,
34,34,ALTRO,,adj,,,,,,,,,,
35,35,ALTROS,,adj,,,,,,,,,,
36,36,ALTROSÍ,,adv,,,,,,,,,,
37,37,ALTROSÍ,,adv,,,,,,,,,,
38,38,AMÀBILE,,adj,,,,,,,,,,
39,39,AMARE,,vt,,,,,,,,,,
40,40,AMICO,,sm,,,,,,,,,,
41,41,AMMÒRDZO,,sm,,,,,,,,,,
42,42,AMORE,,sm,,,,,,,,,,
43,43,ÀNATE,,sm,,,,,,,,,,
44,44,ANCORA,,adv,,,,,,,,,,
45,45,ANDARE,,vi,,,,,,,,,,
46,46,ANÈLLO,,sm,,,,,,,,,,
47,47,ÀNGOLO,,sm,,,,,,,,,,
48,48,ÀNIMA,,sf,,,,,,,,,,
49,49,ANIMALE,,sm,,,,,,,,,,
50,50,ANNA,,sf,,,,,,,,,,
51,51,ANNO,,sm,,,,,,,,,,
52,52,ANTE,,prep (adv),,,,,,,,,,
53,53,ANTE,,prep (adv),,,,,,,,,,
54,54,ANTEHÈRE,,adv,,,,,,,,,,
55,55,ANTERIORE,,adj,,,,,,,,,,
56,56,ANTICO,,adj,,,,,,,,,,
57,57,APE,,sf,,,,,,,,,,
58,58,APÈRTO,,adj,,,,,,,,,,
59,59,APPARERE,,vi,,,,,,,,,,
60,60,APPARTAMÈNTO,,sm,,,,,,,,,,
61,61,APPRÈNDERE,,vt,,,,,,,,,,
62,62,APRILE,,sm,,,,,,,,,,
63,63,APRIRE,,vt,,,,,,,,,,
64,64,AQUA,,sf,,,,,,,,,,
65,65,ÀQUILA,,sf,,,,,,,,,,
66,66,ÀRBORE,,sm,,,,,,,,,,
67,67,ARCO,,sm,,,,,,,,,,
68,68,ARCO EN CÈLO,,sm,,,,,,,,,,
69,69,ARDERE,,vt,,,,,,,,,,
70,70,ARENA,,sf,,,,,,,,,,
71,71,ARGÈNTO,,sm,,,,,,,,,,
72,72,ARMARIO,,sm,,,,,,,,,,
73,73,ARRESTARE,,vti,,,,,,,,,,
74,74,ARRESTARE-SE,,vr,,,,,,,,,,
75,75,ARRÈTRO,,prep,,,,,,,,,,
76,76,ARRIPARE,,vi,,,,,,,,,,
77,77,ARTE,,sf,,,,,,,,,,
78,78,ARTISTA,,sm,,,,,,,,,,
79,79,ASCÈNDERE,,vi,,,,,,,,,,
80,80,ASCÈNDERE,,vt,,,,,,,,,,
81,81,ASCENSORE,,sm,,,,,,,,,,
82,82,ASCOLTARE,,vt,,,,,,,,,,
83,83,ASSATES,,adj,,,,,,,,,,
84,84,ASSÎA,,sf,,,,,,,,,,
85,85,ATTENTIONE,,sf,,,,,,,,,,
86,86,AUCÈLLO,,sm,,,,,,,,,,
87,87,AUCTORE,,sm,,,,,,,,,,
88,88,AUDIRE,,vt,,,,,,,,,,
89,89,AUDITO,,sm,,,,,,,,,,
90,90,AURECLA,,sf,,,,,,,,,,
91,91,AURO,,sm,,,,,,,,,,
92,92,AUT,,conj,,,,,,,,,,
93,93,AUTOBUSE,,sm,,,,,,,,,,
94,94,AUTOMNO,,sm,,,,,,,,,,
95,95,AUTOMÒBILE,,sf,,,,,,,,,,
96,96,AVIA,,sf,,,,,,,,,,
97,97,AVO,,sm,,,,,,,,,,
98,98,BALCONE,,sm,,,,,,,,,,
99,99,BALLARE,,vi,,,,,,,,,,
100,100,BALLONE,,sm,,,,,,,,,,
101,101,BALLONE,,sm,,,,,,,,,,
102,102,BANANA,,sf,,,,,,,,,,
103,103,BANCA,,sf,,,,,,,,,,
104,104,BANCO,,sm,,,,,,,,,,
105,105,BANNÎARE-SE,,vr,,,,,,,,,,
106,106,BANNÎO,,sm,,,,,,,,,,
107,107,BARBA,,sf,,,,,,,,,,
108,108,BARCA,,sf,,,,,,,,,,
109,109,BARE,,sm,,,,,,,,,,
110,110,BASCHETBOLE,,sm,,,,,,,,,,
111,111,BASSÎARE,,vi,,,,,,,,,,
112,112,BASSÎARE,,vt,,,,,,,,,,
113,113,BASSO,,adj,,,,,,,,,,
114,114,BASSO,,prep (adv),,,,,,,,,,
115,115,BASTARE,,vi,,,,,,,,,,
116,116,BEBÉ,,sm,,,,,,,,,,
117,117,BELANCÎARIA,,sf,,,,,,,,,,
118,118,BÈLLO,,adj,,,,,,,,,,
119,119,BÈNE,,adv,,,,,,,,,,
120,120,BERRETTO,,sm,,,,,,,,,,
121,121,BÉVERE,,vt,,,,,,,,,,
122,122,BIBLIOTÈCA,,sf,,,,,,,,,,
123,123,BICICLETTA,,sf,,,,,,,,,,
124,124,BILLETTO,,sm,,,,,,,,,,
125,125,BISCÒCTO,,sm,,,,,,,,,,
126,126,BLANCO,,adj,,,,,,,,,,
127,127,BLAVO,,adj,,,,,,,,,,
128,128,BLUSA,,sf,,,,,,,,,,
129,129,BOCCA,,sf,,,,,,,,,,
130,130,BÒNO,,adj,,,,,,,,,,
131,131,BÒNO MERCATO,,adj,,,,,,,,,,
132,132,BORSA DE MANO,,sf,,,,,,,,,,
133,133,BORSA,,sf,,,,,,,,,,
134,134,BOTTA,,sf,,,,,,,,,,
135,135,BOTTECLA,,sf,,,,,,,,,,
136,136,BOTTONE,,sm,,,,,,,,,,
137,137,BRACCÎO,,sm,,,,,,,,,,
138,138,BROTSA,,sf,,,,,,,,,,
139,139,BUTIRRO,,sm,,,,,,,,,,
140,140,CABBIA,,sf,,,,,,,,,,
141,141,CACARE,,vi,,,,,,,,,,
142,142,CADERE,,vi,,,,,,,,,,
143,143,CAFFÈ,,sm,,,,,,,,,,
144,144,CALCETTA,,sf,,,,,,,,,,
145,145,CALCÎA,,sf,,,,,,,,,,
146,146,CALCÎO,,sm,,,,,,,,,,
147,147,CALDO,,adj,,,,,,,,,,
148,148,CALENDARIO,,sm,,,,,,,,,,
149,149,CÀLIDO,,adj,,,,,,,,,,
150,150,CALORE,,sm,,,,,,,,,,
151,151,CAMBA,,sf,,,,,,,,,,
152,152,CAMBIARE,,vt,,,,,,,,,,
153,153,CAMBIO,,sm,,,,,,,,,,
154,154,CÀMERA,,sf,,,,,,,,,,
155,155,CÀMERA DE BANNÎO,,sf,,,,,,,,,,
156,156,CÀMERA DE SERVITIO,,sf,,,,,,,,,,
