id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
1,1,APRINDE,,,,,,,,,,,,
2,2,ACCIDENT,,,,,,,,,,,,
3,3,ACORD,,,,,,,,,,,,
4,4,AC,,,,,,,,,,,,
5,5,ACUM,,,,,,,,,,,,
6,6,ACRU,,,,,,,,,,,,
7,7,ACŢIUNE,,,,,,,,,,,,
8,8,ACTUAL,,,,,,,,,,,,
9,9,LA,,,,,,,,,,,,
10,10,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,
12,12,ÎNAINTE,,,,,,,,,,,,
13,13,ADIO,,,,,,,,,,,,
14,14,ADORMI,,,,,,,,,,,,
15,15,ÎNĂUNTRU,,,,,,,,,,,,
16,16,ACOLO,,,,,,,,,,,,
17,17,ÎNCOTRO,,,,,,,,,,,,
18,18,AER,,,,,,,,,,,,
19,19,AVION,,,,,,,,,,,,
20,20,AEROPORT,,,,,,,,,,,,
21,21,ASCUŢIT,,,,,,,,,,,,
22,22,AFARĂ,,,,,,,,,,,,
23,23,AGREABIL,,,,,,,,,,,,
24,24,MIEL,,,,,,,,,,,,
25,25,AUGUST,,,,,,,,,,,,
26,26,AJUTA,,,,,,,,,,,,
27,27,ARIPĂ,,,,,,,,,,,,
28,28,BUCURA,,,,,,,,,,,,
29,29,VESEL,,,,,,,,,,,,
30,30,MÂNCARE,,,,,,,,,,,,
31,31,ATUNCI,,,,,,,,,,,,
32,32,ÎNALT,,,,,,,,,,,,
33,33,SUS,,,,,,,,,,,,
34,34,ALT,,,,,,,,,,,,
35,35,ALŢI,,,,,,,,,,,,
36,36,ASEMENEA,,,,,,,,,,,,
37,37,NICI CUM,,,,,,,,,,,,
38,38,AMABIL,,,,,,,,,,,,
39,39,IUBI,,,,,,,,,,,,
40,40,PRIETEN,,,,,,,,,,,,
41,41,DEJUN,,,,,,,,,,,,
42,42,IUBIRE,,,,,,,,,,,,
43,43,RAŢĂ,,,,,,,,,,,,
44,44,ÎNCĂ,,,,,,,,,,,,
45,45,MERGE,,,,,,,,,,,,
46,46,CERC,,,,,,,,,,,,
47,47,COLŢ,,,,,,,,,,,,
48,48,SUFLET,,,,,,,,,,,,
49,49,ANIMAL,,,,,,,,,,,,
50,50,ANA,,,,,,,,,,,,
51,51,AN,,,,,,,,,,,,
52,52,ÎNAINTE,,,,,,,,,,,,
53,53,ÎNAINTEA,,,,,,,,,,,,
54,54,ALALTĂIERI,,,,,,,,,,,,
55,55,ANTERIOR,,,,,,,,,,,,
56,56,ANTIC,,,,,,,,,,,,
57,57,ALBINĂ,,,,,,,,,,,,
58,58,DESCHIS,,,,,,,,,,,,
59,59,APĂREA,,,,,,,,,,,,
60,60,APARTAMENT,,,,,,,,,,,,
61,61,ÎNVĂŢA,,,,,,,,,,,,
62,62,APRILIE,,,,,,,,,,,,
63,63,DESCHIDE,,,,,,,,,,,,
64,64,APĂ,,,,,,,,,,,,
65,65,VULTUR,,,,,,,,,,,,
66,66,ARBORE,,,,,,,,,,,,
67,67,ARC,,,,,,,,,,,,
68,68,CURCUBEU,,,,,,,,,,,,
69,69,ARDE,,,,,,,,,,,,
70,70,NISIP,,,,,,,,,,,,
71,71,ARGINT,,,,,,,,,,,,
72,72,DULAP,,,,,,,,,,,,
73,73,OPRI,,,,,,,,,,,,
74,74,OPRI,,,,,,,,,,,,
75,75,ÎNAPOI,,,,,,,,,,,,
76,76,SOSI,,,,,,,,,,,,
77,77,ARTĂ,,,,,,,,,,,,
78,78,ARTIST,,,,,,,,,,,,
79,79,URCA,,,,,,,,,,,,
80,80,SUI,,,,,,,,,,,,
81,81,ASCENSOR,,,,,,,,,,,,
82,82,ASCULTA,,,,,,,,,,,,
83,83,DESTUL,,,,,,,,,,,,
84,84,SECURE,,,,,,,,,,,,
85,85,ATENŢIE,,,,,,,,,,,,
86,86,PASĂRE,,,,,,,,,,,,
87,87,AUTOR,,,,,,,,,,,,
88,88,AUZI,,,,,,,,,,,,
89,89,AUZ,,,,,,,,,,,,
90,90,URECHE,,,,,,,,,,,,
91,91,AUR,,,,,,,,,,,,
92,92,SAU,,,,,,,,,,,,
93,93,AUTOBUZ,,,,,,,,,,,,
94,94,TOAMNĂ,,,,,,,,,,,,
95,95,AUTOMOBIL,,,,,,,,,,,,
96,96,BUNICĂ,,,,,,,,,,,,
97,97,BUNIC,,,,,,,,,,,,
98,98,BALCON,,,,,,,,,,,,
99,99,DANSA,,,,,,,,,,,,
100,100,BALON,,,,,,,,,,,,
101,101,BALON,,,,,,,,,,,,
102,102,BANANĂ,,,,,,,,,,,,
103,103,BANCĂ,,,,,,,,,,,,
104,104,BANCĂ,,,,,,,,,,,,
105,105,SCĂLDA,,,,,,,,,,,,
106,106,BAIE,,,,,,,,,,,,
107,107,BARBĂ,,,,,,,,,,,,
108,108,BARCĂ,,,,,,,,,,,,
109,109,BAR,,,,,,,,,,,,
110,110,BASCHET,,,,,,,,,,,,
111,111,COBORÎ,,,,,,,,,,,,
112,112,SCĂDEA,,,,,,,,,,,,
113,113,JOS,,,,,,,,,,,,
114,114,JOS,,,,,,,,,,,,
115,115,DESTUL,,,,,,,,,,,,
116,116,BEBELUŞ,,,,,,,,,,,,
117,117,LEAGĂN,,,,,,,,,,,,
118,118,DRĂGUŢ,,,,,,,,,,,,
119,119,BINE,,,,,,,,,,,,
120,120,BONEŢĂ,,,,,,,,,,,,
121,121,BEA,,,,,,,,,,,,
122,122,BIBLIOTECĂ,,,,,,,,,,,,
123,123,BICICLETĂ,,,,,,,,,,,,
124,124,BANCNOTĂ,,,,,,,,,,,,
125,125,PESMET,,,,,,,,,,,,
126,126,ALB,,,,,,,,,,,,
127,127,ALBASTRU,,,,,,,,,,,,
128,128,BLUZĂ,,,,,,,,,,,,
129,129,GURĂ,,,,,,,,,,,,
130,130,BUN,,,,,,,,,,,,
131,131,IEFTIN,,,,,,,,,,,,
132,132,POŞETĂ,,,,,,,,,,,,
133,133,PUNGĂ,,,,,,,,,,,,
134,134,CIZMĂ,,,,,,,,,,,,
135,135,STICLĂ,,,,,,,,,,,,
136,136,NASTURE,,,,,,,,,,,,
137,137,BRAŢ,,,,,,,,,,,,
138,138,PERIE,,,,,,,,,,,,
139,139,UNT,,,,,,,,,,,,
140,140,COLIVIE,,,,,,,,,,,,
141,141,CĂCA,,,,,,,,,,,,
142,142,CĂDEA,,,,,,,,,,,,
143,143,CAFEA,,,,,,,,,,,,
144,144,ŞOSETĂ,,,,,,,,,,,,
145,145,CIORAP,,,,,,,,,,,,
146,146,PANTOF,,,,,,,,,,,,
147,147,CALD,,,,,,,,,,,,
148,148,CALENDAR,,,,,,,,,,,,
149,149,CĂLDUROS,,,,,,,,,,,,
150,150,CĂLDURĂ,,,,,,,,,,,,
151,151,PICIOR,,,,,,,,,,,,
152,152,SCHIMBA,,,,,,,,,,,,
153,153,SCHIMBARE,,,,,,,,,,,,
154,154,CAMERĂ,,,,,,,,,,,,
155,155,BAIE,,,,,,,,,,,,
156,156,LAVABOU,,,,,,,,,,,,
157,157,CĂMIN,,,,,,,,,,,,
158,158,CAMION,,,,,,,,,,,,
159,159,CĂMAŞĂ,,,,,,,,,,,,
160,160,DRUM,,,,,,,,,,,,
161,161,SONERIE,,,,,,,,,,,,
162,162,CÂMP,,,,,,,,,,,,
163,163,LUMÂNARE,,,,,,,,,,,,
164,164,CÂINE,,,,,,,,,,,,
165,165,CĂŢEA,,,,,,,,,,,,
166,166,CÂNTA,,,,,,,,,,,,
167,167,CÂNTEC,,,,,,,,,,,,
168,168,CAPABIL,,,,,,,,,,,,
169,169,PĂR,,,,,,,,,,,,
170,170,ÎNCĂPEA,,,,,,,,,,,,
171,171,CAP,,,,,,,,,,,,
172,172,ŞEF,,,,,,,,,,,,
173,173,PĂLĂRIE,,,,,,,,,,,,
174,174,CAPRĂ,,,,,,,,,,,,
175,175,CARACTER,,,,,,,,,,,,
176,176,CARNE,,,,,,,,,,,,
177,177,SCUMP,,,,,,,,,,,,
178,178,CARTE,,,,,,,,,,,,
179,179,PRIMĂRIE,,,,,,,,,,,,
180,180,CASĂ,,,,,,,,,,,,
181,181,BRÂNZĂ,,,,,,,,,,,,
182,182,CAZ,,,,,,,,,,,,
183,183,CUTIE,,,,,,,,,,,,
184,184,SERTAR,,,,,,,,,,,,
185,185,SPANIOLĂ,,,,,,,,,,,,
186,186,CASTEL,,,,,,,,,,,,
187,187,FIECARE,,,,,,,,,,,,
188,188,CATALANĂ,,,,,,,,,,,,
189,189,PISICĂ,,,,,,,,,,,,
190,190,VÂNA,,,,,,,,,,,,
191,191,COADĂ,,,,,,,,,,,,
192,192,LUCRU,,,,,,,,,,,,
193,193,CAUZĂ,,,,,,,,,,,,
194,194,CAL,,,,,,,,,,,,
195,195,SĂPA,,,,,,,,,,,,
196,196,PEŞTERĂ,,,,,,,,,,,,
197,197,ORB,,,,,,,,,,,,
198,198,CER,,,,,,,,,,,,
199,199,CINĂ,,,,,,,,,,,,
200,200,CINA,,,,,,,,,,,,
201,201,CENUŞĂ,,,,,,,,,,,,
202,202,SUTĂ,,,,,,,,,,,,
203,203,CENTRU,,,,,,,,,,,,
204,204,CĂUTA,,,,,,,,,,,,
